[176147485, Bar, Bastion, 9:00-20:00, POLYGON ((21.4235134 42.000013 21.42341 41.9999162 21.4235769 41.9998178 21.4235315 41.9997753 21.423539 41.9997709 21.4236604 41.9996993 21.4236941 41.9996794 21.4238428 41.9998187 21.4235134 42.000013))]
[176147491, Restaurant, Sushico, Su-Th 12:00-23:00; Fr-Sa 10:00-00:00, POLYGON ((21.4238019 41.9996257 21.4239225 41.9995543 21.4241357 41.9997532 21.4240152 41.9998245 21.4238019 41.9996257))]
[223413061, Cafe, Manhattan cafe, POLYGON ((21.4241816 41.9999753 21.4241185 41.9999137 21.4242339 41.9998485 21.4242971 41.9999101 21.4241816 41.9999753))]
[248508284, Restaurant, Sopotsko, POLYGON ((21.426047 42.0015902 21.4259955 42.0016166 21.4259656 42.0015845 21.4259879 42.001573 21.4260987 42.0015163 21.4261793 42.0016032 21.4260978 42.0016449 21.426047 42.0015902))]
[305647156, Restaurant, Bravos, POLYGON ((21.4144957 42.0000105 21.4145262 42.0001265 21.414643 42.0001094 21.4146125 41.9999935 21.4144957 42.0000105))]
[363752338, Restaurant, Skopski merak, Mo-Su 00:00-01:0, POLYGON ((21.4198035 42.0011296 21.419926 42.0010594 21.4198196 42.0009567 21.419697 42.0010269 21.4198035 42.0011296))]
[379884574, Restaurant, Tomche sofka, POLYGON ((21.4258875 42.0037335 21.4255207 42.0033765 21.4257373 42.0032584 21.4261086 42.0036092 21.4258875 42.0037335))]
[386708070, Pub, POLYGON ((21.4230547 42.001143 21.4231385 42.0012424 21.4235019 42.0010702 21.4234224 42.0009761 21.4230547 42.001143))]
[477026719, Restaurant, Chitalna, POLYGON ((21.4220295 42.0024104 21.4219665 42.0023474 21.4221601 42.0022405 21.4222231 42.0023034 21.4220295 42.0024104))]
[477026720, Bar, Juboks, POLYGON ((21.4219959 42.0014222 21.421993 42.0012587 21.4221754 42.0012569 21.4221783 42.0014204 21.4219959 42.0014222))]
[477026724, Restaurant, Chardak, POLYGON ((21.4221597 42.0021192 21.4220761 42.0020304 21.4221979 42.001967 21.4222816 42.0020559 21.4221597 42.0021192))]
[477325812, Pub, Stobi, POLYGON ((21.4207639 42.0007057 21.4210319 42.0006559 21.4209849 42.0005164 21.420717 42.0005662 21.4207639 42.0007057))]
[477325813, Restaurant, Nasha sofra, POLYGON ((21.4204319 42.0009268 21.4202503 42.0008253 21.4201615 42.0009111 21.4203368 42.0010112 21.4204319 42.0009268))]
[477325815, Restaurant, Debar maalo, POLYGON ((21.4203688 42.0015986 21.4204304 42.0016664 21.4205993 42.0015815 21.4205376 42.0015138 21.4203688 42.0015986))]
[477325816, Restaurant, Gurmet, 09:00-24:0, POLYGON ((21.4208159 42.0012623 21.4210035 42.0013505 21.4210737 42.0012838 21.4210149 42.0012456 21.4210507 42.0012113 21.4209043 42.0011463 21.4208159 42.0012623))]
[477325818, Restaurant, Nadzhak, POLYGON ((21.4214055 42.0014746 21.421533 42.0014764 21.4215364 42.0013431 21.4214089 42.0013413 21.4214055 42.0014746))]
[477325822, Cafe, Sindikat, Mo-Su 09:00-01:00, POLYGON ((21.4224041 42.0014023 21.4224685 42.0013847 21.4224229 42.0012922 21.4223586 42.0013096 21.4224041 42.0014023))]
[477325825, Restaurant, Kancelarija, POLYGON ((21.4223451 42.0017133 21.4223518 42.0015937 21.4221432 42.0015872 21.4221365 42.0017068 21.4223451 42.0017133))]
[477325827, Restaurant, Chamo, POLYGON ((21.422163 42.0021611 21.4221094 42.0020803 21.4219943 42.0021226 21.422048 42.0022033 21.422163 42.0021611))]
[477325830, Restaurant, Ganza, POLYGON ((21.4221641 42.0021587 21.4222498 42.0022638 21.4224134 42.00219 21.4223277 42.002085 21.4221641 42.0021587))]
[477325836, Restaurant, Antica, POLYGON ((21.4194137 42.0013285 21.419637 42.0012142 21.4195509 42.0011212 21.4193279 42.0012348 21.4194137 42.0013285))]
[477333714, Bar, Krug, 09:00-17:00, POLYGON ((21.422891 41.9998876 21.4227703 41.9997481 21.4228963 41.9996883 21.4230841 41.9997381 21.4230251 41.9999235 21.4229527 41.9999375 21.422891 41.9998876))]
[482846770, Restaurant, POLYGON ((21.419637 42.0012142 21.4197571 42.0011528 21.4196462 42.0010331 21.4195262 42.0010945 21.4195509 42.0011212 21.419637 42.0012142))]
